epoch,tr_mse,tr_rmse,tr_r,val_mse,val_rmse,val_r,lr
1,3.7129,1.9269,0.3904,3.1698,1.7804,0.4714,0.001
2,4.3048,2.0748,0.4567,3.777,1.9434,0.5223,0.001
3,3.368,1.8352,0.5409,3.0818,1.7555,0.5398,0.001
4,4.506,2.1227,0.5611,4.4136,2.1009,0.5385,0.001
5,2.9857,1.7279,0.5683,2.7956,1.672,0.5602,0.001
6,2.7628,1.6622,0.6214,2.7771,1.6665,0.5688,0.001
7,3.2534,1.8037,0.6115,3.0665,1.7511,0.6033,0.001
8,3.3208,1.8223,0.6248,3.5245,1.8774,0.5395,0.001
9,2.8325,1.683,0.608,2.6068,1.6146,0.6109,0.001
10,2.6027,1.6133,0.6331,2.56,1.6,0.6003,0.001
11,2.7955,1.672,0.6582,3.0709,1.7524,0.5861,0.001
12,2.6508,1.6281,0.6263,2.5641,1.6013,0.5884,0.001
13,2.6486,1.6274,0.6238,2.7118,1.6467,0.5582,0.001
14,3.0064,1.7339,0.6523,3.1626,1.7784,0.5917,0.001
15,3.0984,1.7602,0.6963,3.2077,1.791,0.6456,0.001
16,2.8456,1.6869,0.6692,3.2795,1.8109,0.562,0.001
17,2.2697,1.5066,0.6882,2.2961,1.5153,0.6466,0.001
18,3.383,1.8393,0.6889,3.7907,1.947,0.5948,0.001
19,2.6047,1.6139,0.6804,2.9184,1.7083,0.606,0.001
20,2.5499,1.5969,0.6501,2.569,1.6028,0.611,0.001
21,2.1034,1.4503,0.7165,2.465,1.57,0.6215,0.001
22,2.3823,1.5435,0.7257,2.7795,1.6672,0.6213,0.001
23,2.2483,1.4994,0.7044,2.7006,1.6433,0.5901,0.001
24,2.1285,1.4589,0.7134,2.6896,1.64,0.5833,0.001
25,2.1888,1.4795,0.7007,2.4967,1.5801,0.6124,0.0005
26,2.2984,1.5161,0.7438,2.7805,1.6675,0.639,0.0005
27,2.2335,1.4945,0.7443,2.8836,1.6981,0.5937,0.0005
28,1.8619,1.3645,0.7631,2.5186,1.587,0.6337,0.0005
29,2.0526,1.4327,0.7693,2.7572,1.6605,0.6189,0.0005
30,2.0091,1.4174,0.7717,2.8101,1.6763,0.6066,0.0005
31,1.9329,1.3903,0.7683,2.5494,1.5967,0.6511,0.0005
32,2.0338,1.4261,0.7791,2.8505,1.6883,0.6167,0.0005
